wallet_address,3LH7pDMG6maRkpHfQdN6hV36D6geFckDp7vTNDYTpump,5E8ifewWjdGPDCRdmvbua3YvV1QzjiZs63qJYwuFpump,7GCihgDB8fe6KNjn2MYtkzZcRjQy3t9GHdC8uHYmW2hr,8sxdRtLdtaYdHis1VSkCJoZUNVZXiaEKEUomzPRTpump,A4GoNqSZTvX4sSnRE1wFjEkemWm8jmbHhLgyCBAkpump,BPuNpj7eqg8R2z8jGxJqWZqxqoVritGsFpHTsNLHpump,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm,MEW1gQWJ3nEXg2qgERiKu7FAFj79PHvQVREQUzScPP5
23xh7KfthaQctLGFrx7o1trRyAgdZk76BatPPFc9kErf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
241BE1n7i4VyH92khyCHHcT8suduDdkXeCuBuU3nQ9eC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24A8Q9kbYJ31CNXZpFg68akfagax9MNoymXfJYt4YoCF,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24BbdWrBwPQbAEAENGK5MS3iaK4txEz1ABssodauSDEC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24CXnvAtqQVAimvUjwX9jRCBnDBG8zEouVyvy6bvSiq8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24SyYqrUYXh3FHqMtUMv9BoExC6fo6ovVGMdES1dsd1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24VArNNtFNf56izWmDwKww4yKBWNQUN8UKDB4W6ibAwK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24VwMM5dNbDLUaQQbYQN9giyujy1Luxg1Jz4v2t8Dnqx,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24dbg7KinpS3zgzDDw84jfsUyJWmiSs1j1bHp5TY3LMc,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24iEEhDA4b5nh7MXXwzQtfG8zKHzMijfuUzBQZ1UNjbH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24qmhCJGrxYak48KMEzyL5JAJBCpBgv7iFmdt3GTgN77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251i8Mq9yYmHEyDfmfhtb8cGbcUfGXBMVvbwnfLTghhT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25FxT68TgdtctQgzTX9JcN6bijYRc227QmgFFDQ5HDBT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25SZaQXWrxDHyDvCRk3JtttYGBJ4fufku8mptVMRRZTu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25Sr5jdyvUAhLwJCCiQf6Jn4eXa6KqjgyDLB8qfDmjPt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25ZqAM5GPxSNiJZB79Yzqq7wE4EwcdFgMR2bGNtkzc3n,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25pMMhzRfiTyfVx7PV42a7n76fp6GTLbEtZiASgPL4k2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25vtmqF1upsf61Q1cHqXkTJAFA7bnzNkhg9jdEonQjHH,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
262q8CA9otLbdxXukAPbDjnLF6EnEuHzKmoDthJq42pY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26FZKkYKuLSotFAjw3tx5xj8m59SvvKazHRZWFLk5Wwc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26SLjBSt13QntnqoXCTJjv6YMbKxNcmukFq1UMvbmSGy,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26VHNfPrN5VazTbQEu1b5eRtH1RdSsKhXCFdb9W7VeAo,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26Wby9XT3CGMZsKVGN3D6qsR1MJhtAB61S54iQUdZxFd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26dH1EiajtR1S9vARZmkxQ4RnFYkxcSB29NNKFAQtGDh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26eZ65Z4BitcYYTaQohFwWRy2rf2Li6zZqoYBN6TNmdS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26mJpoWNM6Hb5iLMQ14mrhrYbTzr5BeaHfZZF7q391Xk,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26n9sNhZzvX5DJbtfmkXATPucJtAS5Rp7zMw8cWfDY64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26raUr6xYEsC8FKS4FPGYBZQPX51duBfHBvJeCRBpomo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
279qP2hEVHXpcMymAy9SuAk2q1krqVZnD4sH6rTb7tmC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27Erwcz7Zv2eqAarVVwP7rsWMSPuwpNobEr6AxZxE2m1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27HFmP7ccLadGswvQfvea4o3juLw75cPF4V6jWpHM3MX,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
27Pm5KSKaBiAEKyCp23MwChuWL4f14GAsk3FWxoXAKyg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27RTCCVVicGEb1n4GWzxZ8gSrSVwV91dxBwiJvmohhnx,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27TiHYJZX1j1JJpyEWWC4yQsTfqCf6jvuxyiCEaD7dTf,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27swZTZWJxb2bfTufLdbej5QZwqmsZHGR3TNPAW9Zuk6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
282ZEkxUchvtNufrBrHP5vMBCn6SkFoucnV4Af7oVHhp,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28XmmbBDVXEWQ65Cxi1SL6196Fx1jK6dg6yTiFx5M6eT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28yFTJuw88rEAJ2s1xKx7aaEWUq2qnjDYE2TWjY51MHz,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29MxjfRr9Gb6Ru9JpimFvjCMtxMsTmtCX1Qh3HAT7b45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
